Country,Year,Sex,Age,Population
Canada,2016,Male,117,13923
Canada,2016,Male,118,13923
Canada,2016,Male,119,13923
Canada,2016,Male,120,13923
Canada,2016,Male,121,13923
Canada,2016,Male,122,13923
Canada,2016,Female,80,21680
Canada,2016,Female,81,21680
Canada,2016,Female,82,21680
Canada,2016,Female,83,21680
Canada,2016,Female,84,21680
Canada,2016,Female,85,21680
Canada,2016,Female,86,21680
Canada,2016,Female,87,21680
Canada,2016,Female,88,21680
Canada,2016,Female,89,21680
Canada,2016,Female,90,21680
Canada,2016,Female,91,21680
Canada,2016,Female,92,21680
Canada,2016,Female,93,21680
Canada,2016,Female,94,21680
Canada,2016,Female,95,21680
Canada,2016,Female,96,21680
Canada,2016,Female,97,21680
Canada,2016,Female,98,21680
Canada,2016,Female,99,21680
Canada,2016,Female,100,21680
Canada,2016,Female,101,21680
Canada,2016,Female,102,21680
Canada,2016,Female,103,21680
Canada,2016,Female,104,21680
Canada,2016,Female,105,21680
